TRIP_ID,TRAVEL_TIME
T1,702.33887
T2,702.33887
T3,702.33887
T4,702.33887
T5,702.33887
T6,702.33887
T7,702.33887
T8,702.33887
T9,702.33887
T10,702.33887
T11,702.33887
T12,702.33887
T13,702.33887
T14,702.33887
T15,702.33887
T16,702.33887
T17,702.33887
T18,702.33887
T19,702.33887
T20,702.33887
T21,702.33887
T22,702.33887
T23,702.33887
T24,702.33887
T25,702.33887
T26,702.33887
T27,702.33887
T28,702.33887
T29,702.33887
T30,702.33887
T31,702.33887
T32,702.33887
T33,702.33887
T34,702.33887
T35,702.33887
T36,702.33887
T37,702.33887
T38,702.33887
T39,702.33887
T40,702.33887
T41,702.33887
T42,702.33887
T43,702.33887
T44,702.33887
T45,702.33887
T46,702.33887
T47,702.33887
T48,702.33887
T49,702.33887
T50,702.33887
T51,702.33887
T52,702.33887
T53,702.33887
T54,702.33887
T55,702.33887
T56,702.33887
T57,702.33887
T58,702.33887
T59,702.33887
T60,702.33887
T61,702.33887
T62,702.33887
T63,702.33887
T64,702.33887
T65,702.33887
T66,702.33887
T67,702.33887
T68,702.33887
T69,702.33887
T70,702.33887
T71,702.33887
T72,702.33887
T73,702.33887
T74,702.33887
T75,702.33887
T76,702.33887
T77,702.33887
T78,702.33887
T79,702.33887
T80,702.33887
T81,702.33887
T82,702.33887
T83,702.33887
T84,702.33887
T85,702.33887
T86,702.33887
T87,702.33887
T88,702.33887
T90,702.33887
T91,702.33887
T92,702.33887
T93,702.33887
T94,702.33887
T95,702.33887
T96,702.33887
T98,702.33887
T99,702.33887
T100,702.33887
T101,702.33887
T102,702.33887
T103,702.33887
T104,702.33887
T107,702.33887
T109,702.33887
T110,702.33887
T111,702.33887
T112,702.33887
T113,702.33887
T114,702.33887
T115,702.33887
T116,702.33887
T117,702.33887
T118,702.33887
T119,702.33887
T120,702.33887
T121,702.33887
T122,702.33887
T123,702.33887
T124,702.33887
T125,702.33887
T126,702.33887
T127,702.33887
T128,702.33887
T129,702.33887
T130,702.33887
T131,702.33887
T132,702.33887
T133,702.33887
T134,702.33887
T135,702.33887
T136,702.33887
T137,702.33887
T138,702.33887
T139,702.33887
T140,702.33887
T141,702.33887
T142,702.33887
T143,702.33887
T144,702.33887
T145,702.33887
T146,702.33887
T147,702.33887
T148,702.33887
T149,702.33887
T151,702.33887
T152,702.33887
T153,702.33887
T154,702.33887
T155,702.33887
T156,702.33887
T157,702.33887
T158,702.33887
T159,702.33887
T160,702.33887
T161,702.33887
T162,702.33887
T163,702.33887
T164,702.33887
T166,702.33887
T167,702.33887
T168,702.33887
T169,702.33887
T170,702.33887
T171,702.33887
T172,702.33887
T173,702.33887
T174,702.33887
T175,702.33887
T176,702.33887
T177,702.33887
T178,702.33887
T179,702.33887
T180,702.33887
T181,702.33887
T182,702.33887
T183,702.33887
T184,702.33887
T185,702.33887
T186,702.33887
T187,702.33887
T188,702.33887
T189,702.33887
T190,702.33887
T191,702.33887
T192,702.33887
T193,702.33887
T194,702.33887
T195,702.33887
T196,702.33887
T197,702.33887
T198,702.33887
T199,702.33887
T200,702.33887
T201,702.33887
T202,702.33887
T203,702.33887
T204,702.33887
T205,702.33887
T206,702.33887
T207,702.33887
T208,702.33887
T209,702.33887
T210,702.33887
T211,702.33887
T212,702.33887
T213,702.33887
T214,702.33887
T215,702.33887
T216,702.33887
T217,702.33887
T218,702.33887
T219,702.33887
T220,702.33887
T221,702.33887
T222,702.33887
T223,702.33887
T224,702.33887
T225,702.33887
T226,702.33887
T227,702.33887
T228,702.33887
T229,702.33887
T230,702.33887
T231,702.33887
T232,702.33887
T233,702.33887
T234,702.33887
T235,702.33887
T236,702.33887
T237,702.33887
T238,702.33887
T239,702.33887
T240,702.33887
T241,702.33887
T242,702.33887
T243,702.33887
T244,702.33887
T245,702.33887
T246,702.33887
T247,702.33887
T248,702.33887
T249,702.33887
T250,702.33887
T251,702.33887
T252,702.33887
T253,702.33887
T254,702.33887
T255,702.33887
T256,702.33887
T257,702.33887
T258,702.33887
T259,702.33887
T260,702.33887
T261,702.33887
T262,702.33887
T263,702.33887
T264,702.33887
T265,702.33887
T266,702.33887
T267,702.33887
T268,702.33887
T269,702.33887
T270,702.33887
T271,702.33887
T272,702.33887
T273,702.33887
T274,702.33887
T275,702.33887
T276,702.33887
T277,702.33887
T278,702.33887
T279,702.33887
T280,702.33887
T281,702.33887
T282,702.33887
T283,702.33887
T284,702.33887
T285,702.33887
T286,702.33887
T287,702.33887
T288,702.33887
T289,702.33887
T290,702.33887
T291,702.33887
T292,702.33887
T293,702.33887
T294,702.33887
T295,702.33887
T296,702.33887
T297,702.33887
T298,702.33887
T299,702.33887
T300,702.33887
T301,702.33887
T302,702.33887
T303,702.33887
T304,702.33887
T305,702.33887
T306,702.33887
T307,702.33887
T308,702.33887
T309,702.33887
T310,702.33887
T311,702.33887
T312,702.33887
T313,702.33887
T314,702.33887
T315,702.33887
T316,702.33887
T317,702.33887
T318,702.33887
T319,702.33887
T320,702.33887
T321,702.33887
T322,702.33887
T323,702.33887
T324,702.33887
T325,702.33887
T326,702.33887
T327,702.33887
